INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
17 SPENCER STREET,BROOKLYN,03 BROOKLYN,Precinct 79,33,3017160018,06/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/19/2016,996473,193713
92-32 UNION HALL STREET,QUEENS,12 QUEENS,Precinct 103,27,4101010027,11/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2017,1040354,195744
207 STARR STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031880056,12/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/22/2017,1005533,196143
227 MADISON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002700032,10/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,01/27/2017,987461,198963
6 WEST  125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1017220040,10/18/2016,Closed,Cleaning crew dispatched. No graffiti on property.,01/26/2017,1000138,233131
373 5 AVENUE,MANHATTAN,05 MANHATTAN,Unspecified,04,1008650001,07/03/2016,Closed,Cleaning crew dispatched. No graffiti on property.,01/25/2017,988683,212228
1355 AMSTERDAM AVENUE,MANHATTAN,09 MANHATTAN,Precinct 26,07,1019660107,08/10/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/14/2016,996480,235833
36-51 MAIN STREET,QUEENS,07 QUEENS,Precinct 109,20,4049770006,09/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/07/2016,1030932,217006
1267 UTICA AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3047810074,08/31/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/02/2016,1003879,172987
5601 AVENUE L,BROOKLYN,18 BROOKLYN,Precinct 63,46,3078360008,08/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/23/2016,1006055,166603
43 GEORGE STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031530031,09/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2016,1003181,194730
300 SHEFFIELD AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3037530008,09/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2016,1013002,183318
